trip_id,rider_id,distance_km,duration_min,fare_amount,ride_date,surge_flag,fare_zscore,distance_km_zscore,hour_x,day_of_week_x,month_x,payment_mode_Cash,payment_mode_Credit Card,payment_mode_UPI,payment_mode_Wallet,zone_Zone_1,zone_Zone_10,zone_Zone_2,zone_Zone_3,zone_Zone_4,zone_Zone_5,zone_Zone_6,zone_Zone_7,zone_Zone_8,zone_Zone_9,fare_log,distance_km_log,duration_min_sqrt,fare_amount_standard,distance_km_standard,duration_min_standard,fare_amount_minmax,distance_km_minmax,duration_min_minmax,is_peak_hour,fare_per_km,surge_flag_new,zone_name,name,age,gender,city,signup_date,total_rides,cancelled_rides,avg_rating,hour_y,day_of_week_y,month_y,gender_encoded,ride_frequency,total_distance,avg_ride_distance,total_fare,avg_ride_fare,days_since_signup,ride_cancellation_rate,population_density,traffic_index,avg_speed_kmph,zone_type
T00019,R0255,7.93,62.56,100.85,2023-05-26,0,-0.3947384297257766,-0.07133367907162998,0,4,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4.623501142672815,2.189416394888408,7.909487973314076,-0.3963777980840825,-0.07133367907162998,0.018809001226454413,0.2592730364544585,0.3061145510835913,0.31048387096774194,0,12.717528373266077,0,Zone_1,Reyansh Sharma,37,Female,Bengaluru,2021-07-06,475,42,3.12,0,1,7,0,High,72.02,0.15162105263157893,1262.22,2.6573052631578946,1881,0.08842105263157894,4921,2.43,30.9,Residential
T00020,R0061,11.43,81.48,227.77,2023-06-19,0,1.089695491402375,0.7152200250135087,0,0,6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5.432717132027692,2.5201129055226197,9.026627277117406,1.1109847460943572,0.7152200250135087,0.5447793868433256,0.5965033478584334,0.44156346749226005,0.40466945440063723,0,19.92738407699038,0,Zone_2,Meera Reddy,25,Male,Mumbai,2020-08-20,168,25,3.69,0,3,8,1,Medium,34.47,0.20517857142857143,596.74,3.5520238095238095,2201,0.1488095238095238,6371,0.91,58.4,Residential
T00021,R0289,3.91,32.07,79.0,2024-08-15,0,-0.6502921736325691,-0.9747467906208462,0,3,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4.382026634673881,1.5912739418064292,5.6630380539071075,-0.6558788348812689,-0.9747467906208462,-0.8288039510705014,0.20121691997024124,0.1505417956656347,0.15870171246515333,0,20.204603580562658,0,Zone_4,Aarav Gupta,21,Other,Chennai,2021-09-30,322,14,4.17,0,3,9,2,Medium,66.13,0.2053726708074534,1234.48,3.8337888198757764,1795,0.043478260869565216,4038,2.46,48.2,Business
T00022,R0112,1.27,9.05,17.63,2024-03-28,0,-1.3680648630403431,-1.5680330131307796,0,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2.924773184613497,0.8197798314933114,3.0083217912982647,-1.384738268668149,-1.5680330131307796,-1.4687531200398658,0.03815495801891806,0.04837461300309598,0.044105933890880133,0,13.881889763779526,0,Zone_10,Meera Nair,41,Female,Delhi,2020-11-13,311,11,3.24,0,4,11,0,Medium,89.53,0.28787781350482317,1150.27,3.6986173633440513,2116,0.03536977491961415,2440,1.54,35.4,Industrial
T00023,R0153,6.12,47.77,118.69,2024-02-26,0,-0.18608493813322832,-0.4780943088985159,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4.784905066885279,1.9629077254238845,6.911584478250989,-0.1845014366899495,-0.4780943088985159,-0.39234860994022236,0.30667446062280795,0.23606811145510836,0.23685782556750298,0,19.393790849673202,0,Zone_3,Aadhya Ghosh,20,Male,Mumbai,2020-05-04,76,14,4.54,0,0,5,1,Low,28.84,0.3794736842105263,460.95,6.065131578947368,2309,0.18421052631578946,12971,2.11,38.0,Business
T00024,R0214,1.1,10.71,13.4,2023-01-10,0,-1.4175381965289349,-1.6062370501863434,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2.667228206581955,0.7419373447293773,3.2726136343907144,-1.4349757691556593,-1.6062370501863434,-1.4226056126337343,0.026915718992454034,0.041795665634674926,0.052369573874950226,0,12.181818181818182,0,Zone_3,Aarav Kumar,20,Female,Kolkata,2022-09-14,210,2,4.53,0,2,9,0,Medium,40.76,0.1940952380952381,681.69,3.2461428571428574,1446,0.009523809523809525,12971,2.11,38.0,Business
T00025,R0272,10.62,56.33,170.34,2023-01-15,0,0.41800434666246217,0.5331890249252336,0,6,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5.143649886535898,2.4527277514237653,7.505331438384317,0.4289186342745668,0.5331890249252336,-0.154383150062822,0.4439100860877883,0.41021671826625383,0.2794703305455994,0,16.039548022598872,0,Zone_2,Kavya Ghosh,21,Male,Kolkata,2020-01-15,432,4,4.79,0,2,1,1,High,40.29,0.09326388888888888,691.76,1.6012962962962962,2419,0.009259259259259259,6371,0.91,58.4,Residential
T00026,R0045,5.87,48.76,86.71,2024-02-14,0,-0.5601173742952067,-0.5342767163331686,0,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4.47403591796329,1.927164106234258,6.982836100038436,-0.5643111921487148,-0.5342767163331686,-0.3648269037160839,0.22170262514613664,0.22639318885448917,0.24178614097968934,0,14.771720613287902,0,Zone_3,Saanvi Iyer,34,Other,Ahmedabad,2023-07-12,100,16,4.88,0,2,7,2,Low,87.53,0.8753,1529.85,15.298499999999999,1145,0.16,12971,2.11,38.0,Business
T00027,R0096,0.78,5.31,10.51,2023-01-12,0,-1.451339126501046,-1.6781505317026988,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2.4432162227337915,0.5766133643039938,2.3043437243605824,-1.4692987895832963,-1.6781505317026988,-1.572724010219945,0.019236900839621637,0.029411764705882356,0.02548785344484269,0,13.474358974358974,0,Zone_9,Reyansh Das,40,Female,Kolkata,2019-12-28,121,3,4.46,0,5,12,0,Low,27.41,0.2265289256198347,354.95,2.933471074380165,2437,0.024793388429752067,11037,1.83,56.1,Mixed
T00028,R0191,6.26,58.43,134.46,2023-05-14,0,-0.001641801226586614,-0.4466321607351104,0,6,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4.908676393786758,1.9823798288367047,7.643951857514541,0.0027906159549764744,-0.4466321607351104,-0.09600377322374005,0.34857583165054734,0.24148606811145512,0.2899243329350856,0,21.479233226837064,0,Zone_1,Meera Gupta,33,Other,Surat,2020-08-14,87,6,4.56,0,4,8,2,Low,83.17,0.9559770114942528,1326.52,15.24735632183908,2207,0.06896551724137931,4921,2.43,30.9,Residential
T00029,R0197,7.04,42.69,72.84,2024-06-13,0,-0.722338446514301,-0.27134304953899374,0,3,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4.301900590194597,2.0844290831908747,6.5337584895678535,-0.7290379372460591,-0.27134304953899374,-0.5335711024842873,0.1848496120735466,0.271671826625387,0.2115690959776981,0,10.34659090909091,0,Zone_6,Saanvi Das,29,Female,Bengaluru,2020-10-08,475,87,3.87,0,3,10,0,High,71.08,0.14964210526315788,973.0,2.048421052631579,2152,0.1831578947368421,14627,0.54,37.6,Mixed
T00030,R0284,10.25,88.43,216.17,2024-03-15,0,0.9540239385731395,0.4500390619219477,0,4,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5.38068045697316,2.4203681286504293,9.403722667114339,0.9732176052775439,0.4500390619219477,0.7379873244774301,0.5656817940269954,0.3958978328173375,0.4392672242134608,0,21.089756097560976,0,Zone_1,Vivaan Das,28,Female,Surat,2019-07-31,135,19,4.95,0,2,7,0,Low,60.91,0.45118518518518513,986.33,7.306148148148148,2587,0.14074074074074075,4921,2.43,30.9,Residential
T00031,R0251,7.27,44.39,170.59,2023-04-08,0,0.4209283025424026,-0.2196552346991133,0,5,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5.14510791029753,2.1126345090356,6.662582082045969,0.43188775368872223,-0.2196552346991133,-0.48631160694788755,0.4445743437134658,0.2805727554179567,0.22003185981680604,0,23.46492434662999,0,Zone_1,Vivaan Iyer,46,Female,Mumbai,2020-01-13,213,26,4.48,0,0,1,0,Medium,38.41,0.18032863849765257,762.5799999999999,3.5801877934272297,2421,0.12206572769953052,4921,2.43,30.9,Residential
T00032,R0228,17.34,154.38,192.42,2023-11-30,0,0.6762481299787997,2.0433721367687,0,3,11,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5.264863990288817,2.9090844668283187,12.424974849069113,0.691151260932776,2.0433721367687,2.5713777542571687,0.5025773195876289,0.6702786377708979,0.7675726802070888,0,11.096885813148788,0,Zone_5,Kavya Ghosh,21,Female,Pune,2020-05-18,10,0,4.84,0,0,5,0,Low,38.44,3.844,675.22,67.522,2295,0.0,2590,1.31,43.9,Business
T00033,R0083,5.41,34.07,133.62,2024-04-19,1,-0.011466292983186459,-0.6376523460129297,0,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4.902455994582567,1.8578592709325787,5.836951259004995,-0.007185625276585882,-0.6376523460129297,-0.7732045445570901,0.3463439260282708,0.20859133126934987,0.168657905217045,0,24.69870609981516,1,Zone_10,Kavya Patel,45,Female,Mumbai,2021-12-31,475,39,4.4,0,4,12,0,High,92.62,0.19498947368421055,1415.3300000000002,2.9796421052631583,1703,0.08210526315789474,2440,1.54,35.4,Industrial
T00034,R0105,7.69,72.38,65.12,2024-06-21,0,-0.812630204086861,-0.12526879020889647,0,4,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4.191471272952824,2.162172939277301,8.50764362206128,-0.8207243447551795,-0.12526879020889647,0.2918020872073039,0.1643373365926241,0.29682662538699695,0.35936877737953005,0,8.46814044213264,0,Zone_8,Diya Das,31,Female,Jaipur,2020-09-28,346,9,3.69,0,0,9,0,High,95.2,0.27514450867052026,1301.12,3.7604624277456646,2162,0.02601156069364162,4516,1.93,31.0,Business
T00035,R0221,7.49,44.42,65.75,2023-08-15,0,-0.8052618352694113,-0.17021471615661873,0,1,8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4.200954297280359,2.138889000323256,6.664833081180653,-0.8132421638315078,-0.17021471615661873,-0.4854776158501864,0.16601126580933148,0.28908668730650156,0.22018120270808442,0,8.778371161548732,0,Zone_4,Diya Patel,21,Female,Delhi,2021-01-13,106,1,4.41,0,2,1,0,Low,58.73,0.5540566037735849,913.29,8.615943396226415,2055,0.009433962264150943,4038,2.46,48.2,Business
T00036,R0081,6.59,49.9,125.55,2023-07-29,0,-0.10585158878766325,-0.3724713829213687,0,5,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4.840637486991133,2.0268315914075385,7.063993204979744,-0.10302879996552393,-0.3724713829213687,-0.3331352420034394,0.3249016898713997,0.25425696594427244,0.2474611708482676,0,19.051593323216995,0,Zone_1,Diya Reddy,42,Other,Mumbai,2022-01-31,114,2,3.9,0,0,1,2,Low,52.92,0.46421052631578946,812.0699999999999,7.123421052631579,1672,0.017543859649122806,4921,2.43,30.9,Residential
T00037,R0067,8.71,57.85,106.26,2024-06-07,0,-0.33146402448386586,0.1039554321244869,0,4,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4.675255793554779,2.2731562823032334,7.605918747922567,-0.3321260539617584,0.1039554321244869,-0.1121276011126293,0.27364757147412055,0.3363003095975233,0.28703703703703703,0,12.199770378874856,0,Zone_10,Saanvi Iyer,32,Male,Pune,2022-07-24,348,9,3.38,0,6,7,1,High,113.07,0.32491379310344826,1846.81,5.3069252873563215,1498,0.02586206896551724,2440,1.54,35.4,Industrial
T00038,R0026,10.71,65.12,172.96,2023-10-27,0,0.4486474042842378,0.553414691601709,0,4,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5.158825387729438,2.460443177609626,8.069696400732806,0.46003500573491596,0.553414691601709,0.08997624156362098,0.45087150600488896,0.41369969040247684,0.3232277976901633,0,16.14939309056956,0,Zone_1,Aarav Kumar,26,Female,Surat,2020-04-17,44,5,3.17,0,4,4,0,Low,79.29,1.8020454545454547,973.19,22.11795454545455,2326,0.11363636363636363,4921,2.43,30.9,Residential
T00039,R0077,14.7,144.74,322.96,2024-03-07,0,2.2030209322484886,1.4500859142587668,0,3,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5.780620051380789,2.7536607123542622,12.030793822520607,2.2415066542281865,1.4500859142587668,2.303388614862526,0.8494260814114145,0.5681114551083591,0.719583831142971,0,21.970068027210885,0,Zone_5,Reyansh Das,28,Male,Mumbai,2019-09-07,406,72,3.79,0,5,9,1,High,146.85999999999999,0.3617241379310345,2343.82,5.7729556650246305,2549,0.17733990147783252,2590,1.31,43.9,Business
T00040,R0110,0.15,1.26,3.27,2024-08-15,0,-1.5592915775884464,-1.8197301984380236,0,3,8,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.451613827240533,0.1397619423751587,1.1224972160321824,-1.555284487817238,-1.8197301984380236,-1.685312808409603,0.0,0.005030959752321981,0.005326563122262047,0,21.8,0,Zone_9,Vivaan Patel,19,Female,Kolkata,2023-02-04,224,28,4.43,0,5,2,0,Medium,59.52,0.26571428571428574,946.68,4.226249999999999,1303,0.125,11037,1.83,56.1,Mixed
T00041,R0056,5.45,34.13,108.87,2024-02-24,0,-0.3009379250972879,-0.6286631608233852,0,5,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4.699297848712789,1.864080130807681,5.842088667591412,-0.30112844727797555,-0.6286631608233852,-0.7715365623616877,0.2805824210861941,0.21013931888544893,0.16895659099960175,0,19.976146788990825,0,Zone_1,Meera Patel,40,Other,Hyderabad,2021-02-26,93,13,3.25,0,4,2,2,Low,66.22,0.7120430107526882,927.79,9.976236559139785,2011,0.13978494623655913,4921,2.43,30.9,Residential
T00042,R0120,5.76,45.5,57.73,2024-02-25,0,-0.8990623398979001,-0.558996975604416,0,6,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4.072950669534428,1.9110228900548727,6.745368781616021,-0.9084915146376148,-0.558996975604416,-0.4554539363329443,0.1447018811775959,0.22213622291021673,0.22555754679410592,0,10.022569444444445,0,Zone_4,Ishaan Gupta,18,Other,Surat,2020-07-12,311,15,4.55,0,6,7,2,Medium,68.2,0.21929260450160773,1013.95,3.260289389067524,2240,0.04823151125401929,4038,2.46,48.2,Business
T00043,R0178,12.69,71.08,174.11,2023-08-07,0,0.4620976013319638,0.9983793584841585,0,0,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5.165414347883809,2.6166656393003573,8.430895563343197,0.4736929550400311,0.9983793584841585,0.2556624729735866,0.45392709108300566,0.4903250773993808,0.3528972520908005,0,13.720252167060679,0,Zone_2,Saanvi Ghosh,27,Male,Delhi,2021-05-15,56,7,3.13,0,5,5,1,Low,63.260000000000005,1.1296428571428572,1040.54,18.581071428571427,1933,0.125,6371,0.91,58.4,Residential
T00044,R0164,6.22,35.17,149.59,2024-04-02,0,0.17531600862740745,-0.45562134592465486,0,1,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5.0145609120987285,1.9768549529047348,5.930430001273095,0.18248172289966433,-0.45562134592465486,-0.7426248709747137,0.3887767031565522,0.23993808049535603,0.1741338112305854,0,24.04983922829582,0,Zone_3,Aadhya Ghosh,37,Other,Ahmedabad,2022-07-06,249,23,4.02,0,2,7,2,Medium,100.28,0.40273092369477914,1758.49,7.062208835341366,1516,0.09236947791164658,12971,2.11,38.0,Business
T00045,R0221,1.48,7.57,22.98,2024-07-11,0,-1.305492207209618,-1.520839790885671,0,3,7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3.177220149599368,0.9082585601768908,2.751363298439521,-1.3211991132052223,-1.520839790885671,-1.5098966808597902,0.052370071208417475,0.0565015479876161,0.03673835125448029,0,15.527027027027028,0,Zone_9,Diya Patel,21,Female,Delhi,2021-01-13,106,1,4.41,0,2,1,0,Low,58.73,0.5540566037735849,913.29,8.615943396226415,2055,0.009433962264150943,11037,1.83,56.1,Mixed
T00046,R0247,8.44,82.23,70.49,2023-08-13,0,-0.749823631785741,0.04327843209506161,0,6,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4.26955757977876,2.244955980157409,9.068075870878012,-0.7569476597391205,0.04327843209506161,0.5656291642858549,0.1786055903921777,0.3258513931888545,0.4084030266825966,0,8.351895734597155,0,Zone_2,Aadhya Das,37,Male,Bengaluru,2021-05-11,249,47,4.92,0,1,5,1,Medium,133.48,0.5360642570281124,2367.44,9.507791164658634,1937,0.18875502008032127,6371,0.91,58.4,Residential
T00047,R0207,7.83,61.12,158.67,2023-09-03,0,0.28151408618684326,-0.093806642045491,0,6,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5.07310918535161,2.178155014615869,7.8179281142768255,0.29032014002179013,-0.093806642045491,-0.02122257146320188,0.41290254012116057,0.30224458204334365,0.3033154121863799,0,20.26436781609195,0,Zone_1,Ishaan Iyer,31,Male,Mumbai,2023-12-06,47,3,3.93,0,2,12,1,Low,63.47,1.3504255319148937,1231.46,26.20127659574468,998,0.06382978723404255,4921,2.43,30.9,Residential
